st_abbrev,fips,population,income,hispanic,asian,black,white,foreign,college,density,vets,female,senior,children,st_cnty,state,winner,votes,fraction_votes,total_votes,voter_turnout
NC,37025,192103,53551,10.0,2.8,17.1,69.0,7.6,25.1,492.1,12361,51.2,12.5,26.2,NC_Cabarrus,North Carolina,Hillary Clinton,8096,0.517,15027,0.10599412095535302
NC,37027,81484,34357,5.0,0.7,5.1,88.0,2.7,12.5,176.1,5602,50.6,17.8,21.1,NC_Caldwell,North Carolina,Hillary Clinton,2156,0.47,4264,0.066323563548893
NC,37031,68811,46534,4.3,1.2,6.2,86.2,3.4,23.9,131.3,9062,50.7,21.8,18.4,NC_Carteret,North Carolina,Hillary Clinton,2946,0.485,5640,0.10044563668428526
NC,37033,23082,35315,3.6,0.3,33.5,61.2,1.7,9.0,55.8,1441,49.2,19.6,19.0,NC_Caswell,North Carolina,Hillary Clinton,1701,0.598,2586,0.13831524965742106
NC,37035,154534,44332,8.9,4.1,8.9,76.8,7.1,21.0,387.1,11011,50.9,16.2,23.0,NC_Catawba,North Carolina,Hillary Clinton,5310,0.512,9871,0.08295572831532556
NC,37037,68698,57091,12.8,1.8,13.1,71.4,10.0,36.4,93.1,5598,52.1,23.6,20.3,NC_Chatham,North Carolina,Hillary Clinton,7406,0.55,12916,0.23589874004576175
NC,37039,27141,34432,2.8,0.7,1.6,91.6,2.7,16.7,60.3,2740,51.3,26.7,17.9,NC_Cherokee,North Carolina,Hillary Clinton,1024,0.439,2045,0.09177498246290036
NC,37041,14572,34420,3.2,0.7,34.2,60.8,4.4,20.1,85.8,1221,52.4,22.4,21.1,NC_Chowan,North Carolina,Hillary Clinton,974,0.618,1444,0.12559461745305944
NC,37045,97076,38989,3.1,1.0,20.9,73.5,2.4,16.3,211.3,6802,51.8,17.1,22.3,NC_Cleveland,North Carolina,Hillary Clinton,4880,0.5589999999999999,7984,0.10584921376466146
NC,37047,56953,35761,4.9,0.4,30.5,60.3,3.0,12.2,62.0,4042,50.7,17.7,22.3,NC_Columbus,North Carolina,Hillary Clinton,3628,0.563,5630,0.12722450522039658
NC,37049,104510,47141,7.1,2.6,21.7,66.3,4.7,21.0,146.0,13147,49.2,17.1,22.5,NC_Craven,North Carolina,Hillary Clinton,5187,0.581,8371,0.10335173976251694
NC,37051,326328,45231,11.0,2.7,37.6,45.2,5.6,22.7,489.7,42332,51.0,10.8,25.8,NC_Cumberland,North Carolina,Hillary Clinton,22744,0.639,33796,0.1395748137190825
NC,37053,24976,57159,3.7,0.8,6.1,87.4,3.1,18.4,89.9,2698,50.3,14.9,22.1,NC_Currituck,North Carolina,Hillary Clinton,780,0.478,1490,0.0765818626189229
NC,37055,35104,55481,6.8,0.6,3.0,87.9,5.9,30.6,88.5,3135,50.6,18.7,19.6,NC_Dare,North Carolina,Bernie Sanders,2307,0.489,4310,0.15270899377315791
NC,37057,164072,43083,6.8,1.4,9.4,81.0,4.6,17.6,294.7,11671,51.0,16.8,22.7,NC_Davidson,North Carolina,Hillary Clinton,4489,0.503,8367,0.06597141557201057
NC,37059,41434,50139,6.4,0.8,6.5,84.9,4.2,24.9,156.2,3419,51.1,19.3,21.9,NC_Davie,North Carolina,Hillary Clinton,1377,0.54,2408,0.07441296115563081
NC,37061,59882,34433,21.6,0.6,26.0,51.8,12.7,10.4,71.7,4154,50.8,15.8,24.9,NC_Duplin,North Carolina,Hillary Clinton,3036,0.612,4486,0.09975232693538305
NC,37063,294460,51853,13.4,4.9,38.6,42.2,13.9,45.1,935.7,15057,52.1,11.1,22.0,NC_Durham,North Carolina,Hillary Clinton,35845,0.575,61429,0.26745611697727434
NC,37065,54933,33960,4.2,0.3,57.7,37.0,2.5,10.5,111.9,3909,53.6,16.9,23.2,NC_Edgecombe,North Carolina,Hillary Clinton,6411,0.708,8469,0.20074169897875593
NC,37067,365298,45724,12.6,2.3,27.1,57.7,9.2,31.9,859.2,25296,52.5,14.4,23.7,NC_Forsyth,North Carolina,Hillary Clinton,24446,0.58,41225,0.14790703526369936
